problem_id,problem_name,solved,accepted
1002,Country Roads,2182 / 2410,4038 / 9617
1019,Brush (V),1784 / 1867,3322 / 7349
1099,Not the Best,850 / 971,1569 / 4357
1174,Commandos,1710 / 1771,2915 / 5196
1208,Dangerous Bull! Who Wants to Pull?,72 / 90,103 / 342
1254,Prison Break,292 / 321,595 / 1702
1281,New Traffic System,552 / 634,1007 / 2922
1316,A Wedding Party,250 / 326,490 / 2517
1321,Sending Packets,264 / 272,660 / 1443
1379,Toll Management,483 / 536,820 / 2546
