problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,tried_count
Baker Vai,1071,5.50,4.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1071,625,678
Gift Packing,1222,6.00,4.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1222,296,301
Sending Secret Messages,1404,6.50,3.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1404,179,182
Cyber Cafe,1237,7.00,3.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1237,174,176
Guardian Knights,1243,7.50,2.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1243,138,141
Rent a Car,1409,8.00,2.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1409,71,75
The Great Merger,1290,8.50,1.50,lightoj,http://lightoj.com/volume_showproblem.php?problem=1290,41,45
