problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Brush (V),,1019,4.97,5.03,lightoj,http://lightoj.com/volume_showproblem.php?problem=1019,1784,"dijkstra,8.5",,
Commandos,,1174,5.29,4.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1174,1710,"dijkstra,8.5","bfs,7.5",
Not the Best,,1099,5.61,4.39,lightoj,http://lightoj.com/volume_showproblem.php?problem=1099,850,"dijkstra,8.5",,
New Traffic System,,1281,5.93,4.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1281,552,"dijkstra,8.5",,
Toll Management,,1379,6.25,3.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1379,483,"dijkstra,8.5",,
Prison Break,,1254,6.57,3.43,lightoj,http://lightoj.com/volume_showproblem.php?problem=1254,292,"dijkstra,8.5",,
Sending Packets,,1321,6.89,3.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1321,264,"dijkstra,8.5",,
A Wedding Party,,1316,7.21,2.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1316,250,"dijkstra,8.5",,
Dangerous Bull! Who Wants to Pull?,,1208,8.15,2.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1208,72,"dijkstra,8.5",,
