problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Substring Frequency,1255,5.5,8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1255,1711,"kmp,6.5",,
Making Huge Palindromes,1258,5.8,7,lightoj,http://lightoj.com/volume_showproblem.php?problem=1258,1126,"kmp,6.5",,
Genes in DNA,1334,6.8,5,lightoj,http://lightoj.com/volume_showproblem.php?problem=1334,245,"kmp,6.5",,
Melody Comparison,1428,6.5,7,lightoj,http://lightoj.com/volume_showproblem.php?problem=1428,328,"kmp,6.5","suffix_array,7",
Substring Frequency (II),1427,6.6,8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1427,378,"aho_corasick,9",,
Names for Babies,1314,6.6,8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1314,494,"suffix_array,7",,
Aladdin and the Magical Lamp,1347,6.9,8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1347,377,"suffix_array,7",,
