problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3
Guilty Prince,classical,1012,3,7,lightoj,http://lightoj.com/volume_showproblem.php?problem=1012,3346,"bfs,7","dfs,7",
Back to Underworld,classical,1009,3.12,6.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1009,2456,"bfs,7","dfs,7",
Farthest Nodes in a Tree,,1094,3.24,6.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1094,1814,"bfs,7","dfs,7",
Power Puff Girls,,1238,3.48,6.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1238,1585,"bfs,7","dfs,7",
Best Picnic Ever,,1111,3.6,6.4,lightoj,http://lightoj.com/volume_showproblem.php?problem=1111,1505,"bfs,7","dfs,7",
Number Transformation,,1141,3.72,6.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1141,1280,"bfs,7","dfs,7",
One Way Roads,,1049,3.84,6.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1049,1273,"bfs,7","dfs,7",
The Crystal Maze,,1337,3.96,6.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1337,1195,"bfs,7","dfs,7",
Farthest Nodes in a Tree (II),,1257,4.08,5.92,lightoj,http://lightoj.com/volume_showproblem.php?problem=1257,1130,"bfs,7","dfs,7","tree_dp,5"
Gathering Food,,1066,4.2,5.8,lightoj,http://lightoj.com/volume_showproblem.php?problem=1066,1129,"bfs,7","dfs,7",
Equalizing Money,,1263,4.32,5.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1263,896,"bfs,7","dfs,7",
A Toy Company,,1039,4.44,5.56,lightoj,http://lightoj.com/volume_showproblem.php?problem=1039,838,"bfs,7","dfs,7",
Rider,,1046,4.56,5.44,lightoj,http://lightoj.com/volume_showproblem.php?problem=1046,798,"bfs,7","dfs,7",
Jane and the Frost Giants,,1175,4.69,5.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1175,790,"bfs,7","dfs,7",
Better Tour,,1271,4.81,5.19,lightoj,http://lightoj.com/volume_showproblem.php?problem=1271,447,"bfs,7","dfs,7",
Escape,,1185,4.93,5.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1185,442,"bfs,7","dfs,7",
Going Together,,1055,5.05,4.95,lightoj,http://lightoj.com/volume_showproblem.php?problem=1055,383,"bfs,7","dfs,7",
Corrupted Friendship,,1357,5.17,4.83,lightoj,http://lightoj.com/volume_showproblem.php?problem=1357,353,"bfs,7","dfs,7",
Blade and Sword,,1377,5.29,4.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1377,258,"bfs,7","dfs,7",
Visiting Islands,,1412,5.41,4.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1412,245,"bfs,7","dfs,7",
Patch Quilt,,1434,5.53,4.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1434,192,"bfs,7","dfs,7",
Filling the Regions,,1115,5.65,4.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1115,180,"bfs,7","dfs,7",
Digit Dancing,,1165,5.77,4.23,lightoj,http://lightoj.com/volume_showproblem.php?problem=1165,148,"bfs,7","dfs,7",
Paths in a Tree,,1353,5.89,4.11,lightoj,http://lightoj.com/volume_showproblem.php?problem=1353,79,"bfs,7","dfs,7",
Blind Escape,,1426,6.01,3.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1426,64,"bfs,7","dfs,7",
Truchet Tiling,,1368,6.13,3.87,lightoj,http://lightoj.com/volume_showproblem.php?problem=1368,63,"bfs,7","dfs,7",
